기간,원자력,석탄_유연탄,석탄_무연탄,석탄_계,유류,LNG,양수,신재생_연료전지,신재생_석탄가스화,신재생_태양,신재생_풍력,신재생_수력,신재생_해양,신재생_바이오,신재생_폐기물,신재생_계,기타,합계
2008/10,40.64263873,53.84622665,141.28762312,56.96989336,260.60900518,156.57019317,207.19398793,140.8061042,,150.202383,142.0270033,167.2352709,0,141.7442737,19.3490253,145.1294113,592.33567852,71.46179319
2008/09,36.56542545,51.27258297,135.5971115,53.43028923,249.02120134,155.71532737,204.34767709,142.9396135,,139.8068524,138.1642704,138.4055703,0,123.7401329,4.1105456,118.3076917,1122.65061166,69.35944094
2008/08,33.27843741,49.85461648,125.82733104,52.20836471,294.02085446,155.68651974,163.87951821,100.4039465,,121.9913752,103.2292114,122.9066836,0,100.0363258,3.9246046,109.7127484,1271.99664685,62.65600761
2008/07,42.62415358,56.11108152,132.53139551,59.04422353,202.36259335,147.19209813,211.75039634,114.4393041,,132.7288893,109.2500452,133.48428,0,114.6978359,3.5594347,110.4372303,1741.49181213,73.72857874
2008/06,37.65142452,50.89740256,119.07492494,53.47887822,212.49956404,134.72148146,195.66698992,102.8265153,,117.8398222,98.5947049,124.3997986,0,109.3831851,8.6797209,111.5595793,1765.06304906,62.72267144
2008/05,38.72046903,50.14822295,120.2933788,52.79635851,208.69569167,122.73306324,175.77496074,106.2606525,,112.129864,106.0386822,121.7977225,0,106.5134152,5.0838766,105.5698071,1037.25147561,62.79449645
2008/04,36.88151926,42.23663133,73.87371774,43.60211358,178.02691465,129.94888365,191.7283286,109.8850055,,114.2669999,110.0575225,124.4746636,0,109.819189,4.0378088,103.3710092,1179.73885919,60.7134278
2008/03,36.76403234,42.29465366,74.29007231,43.70203334,166.89467405,128.47815255,223.27285931,108.4995833,,113.399442,109.6881884,125.580452,0,109.1396348,3.0049769,103.118249,1215.05116912,60.28814403
2008/02,36.48033809,42.18312026,76.69595027,43.18498252,151.87086248,127.2095306,156.1720339,103.4871665,,107.0074777,107.6459458,124.4024452,0,103.7210674,4.0783365,102.2983619,1464.80334905,61.91711445
2008/01,38.6575166,44.42672304,78.49727384,45.70445871,152.19039946,124.00720442,223.90244834,104.6761757,,112.394089,103.8819407,128.0017942,0,104.797857,3.6356841,104.0434521,1573.36078811,65.52086548
